Field 1,Studio,Date,Headcount,Parent,Type,Studio Location,Parent Location
,PlayStation Studios,2024-02-27,900, Sony                     , Console   ,,
,Die Gut Fabrik,2024-02-26,10,, Indie     ,,
,SuperMassive Games,2024-02-26,90,, Console   ,,
,CodeMasters,2024-02-23,, Electronic Arts          , Mobile    ,England,United States
,GameLoft Lviv,2024-02-21,38,Viacom, Mobile    ,Ukraine,France
,Disruptive Games,2024-02-21,,, Console   ,California,United States
,Noggin,2024-02-16,,Paramount Global, Online    ,,United States
,Build a Rocket Boy,2024-02-19,,, Console   ,,United Kingdom
,Scopely,2024-02-14,15,Savvy Games Group, Mobile    ,California,Saudi Arabia
,Daybreak Games,2024-02-12,15, Enad Global 7            , Online    ,California,Sweden
,Genvid Technologies,2024-02-12,,, Online    ,,United States
,Threshold Games,2024-02-09,11,, Indie     ,,United States
,GameScience,2024-02-07,10,Prytania Media, Indie     ,,United States
,Hidden Path Entertainment,2024-02-07,44,, Indie     ,Washington,United States
,91Act,2024-02-07,15,, Indie     ,,China
,Cloud Imperium Games,2024-02-06,,, Indie     ,,United States
, Visual Concepts           ,2024-02-06,, TakeTwo Interactive      , Console   ,Texas,United States
,Crop Circle Games,2024-02-05,,Prytania Media, Indie     ,,United States
,Chimera Entertainment,2024-02-01,20,Remote Control Productions, Mobile    ,,
,Threaks,2024-02-01,25,, Indie     ,Germany,Germany
,Artificer,2024-01-31,,Devolver Digital, Console   ,,
,Airship Syndicate,2024-01-31,12,, Indie     ,Texas,United States
,Rovio Montreal,2024-01-31,12, SEGA                     , Mobile    ,,Japan
,Starword Industries,2024-01-30,15,, Console   ,Poland,Poland
,Nimble Giant,2024-01-30,, Embracer Group           , Console   ,,Sweden
,Black Forest Games,2024-01-25,40, Embracer Group           , Console   ,,Sweden
,Plarium,2024-01-24,45, Aristocrat Games         , Mobile    ,,
,Little Red Dog Games,2024-01-22,30,, Console   ,,
,Chief Rebel,2024-01-19,,, Indie     ,,
,Warducks,2024-01-23,10,, Mobile    ,Ireland,Ireland
,People Can Fly Studios,2024-01-24,30,, Console   ,,
,Eidos Montreal,2024-01-29,97, Embracer Group           , Console   ,Quebec,Sweden
, Activision Blizzard       ,2024-01-25,1900, Microsoft                , Console   ,,United States
, Riot Games                ,2024-01-22,530,Tencent, Online    ,California,China
,Metaverse World,2024-01-19,70, Netmarble                , Online    ,South Korea,South Korea
,Ntreev Soft,2024-01-18,70,NCSoft, Online    ,South Korea,South Korea
,31st Union,2024-01-18,, TakeTwo Interactive      , Console   ,,United States
,CI Games,2024-01-18,30,, Console   ,,
,Behaviour Interactive,2024-01-18,45,, Console   ,Quebec,Canada
,Wimo Games,2024-01-17,20,, Online    ,Texas,United States
,Netspeak Games,2024-01-17,25,, Indie     ,,
,Thunderful Group,2024-01-17,75,Thunderful Group, Publisher ,,Sweden
,Pixelberry,2024-01-17,,Nexon, Mobile    ,,
,Prahna Bytes,2024-01-16,, Embracer Group           , Console   ,,Sweden
,PTW,2024-01-16,45,, Publisher ,,
,Nesting Games,2024-01-12,68,Digital Bros, Console   ,Quebec,Italy
,Lost Boys Interactive,2024-01-12,125, Embracer Group           , Console   ,,Sweden
,Playtika,2024-01-11,350,PlayTika, Mobile    ,,Israel
, Twitch                    ,2024-01-10,500, Amazon                   , Online    ,California,United States
, Unity Technologies        ,2024-01-08,1800,Unity, Tech      ,California,United States
,Sliptegate Iron Works,2024-01-03,, Embracer Group           , Console   ,,Sweden
,Archiact,2024-01-02,20,, AR/VR     ,British Columbia,Canada
